21-11-2019 13:19:20.979 [RMI TCP Connection(960)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin.shutdown - Application shutdown requested.
21-11-2019 13:19:20.982 [RMI TCP Connection(960)-127.0.0.1] INFO  o.s.s.c.ThreadPoolTaskExecutor.shutdown - Shutting down ExecutorService 'applicationTaskExecutor'
21-11-2019 13:19:24.083 [main] INFO  c.d.dawangj.demo.DawangjApplication.logStarting - Starting DawangjApplication on HANM14698.local with PID 19702 (/Users/dawang/Documents/workspace-spring-tool-suite-4-4.3.0.RELEASE/dawangj/target/classes started by dawang in /Users/dawang/Documents/workspace-spring-tool-suite-4-4.3.0.RELEASE/dawangj)
21-11-2019 13:19:24.086 [main] INFO  c.d.dawangj.demo.DawangjApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
21-11-2019 13:19:24.715 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 8080 (http)
21-11-2019 13:19:24.734 [main] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
21-11-2019 13:19:24.735 [main] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/9.0.21]
21-11-2019 13:19:24.805 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
21-11-2019 13:19:24.974 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize - Initializing ExecutorService 'applicationTaskExecutor'
21-11-2019 13:19:25.037 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping.<init> - Adding welcome page: class path resource [static/index.html]
21-11-2019 13:19:25.122 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 8080 (http) with context path ''
21-11-2019 13:19:25.126 [main] INFO  c.d.dawangj.demo.DawangjApplication.logStarted - Started DawangjApplication in 1.296 seconds (JVM running for 2.104)
21-11-2019 13:19:25.631 [RMI TCP Connection(4)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin.shutdown - Application shutdown requested.
21-11-2019 13:19:25.633 [RMI TCP Connection(4)-127.0.0.1] INFO  o.s.s.c.ThreadPoolTaskExecutor.shutdown - Shutting down ExecutorService 'applicationTaskExecutor'
21-11-2019 13:19:32.917 [main] INFO  c.d.dawangj.demo.DawangjApplication.logStarting - Starting DawangjApplication on HANM14698.local with PID 19703 (/Users/dawang/Documents/workspace-spring-tool-suite-4-4.3.0.RELEASE/dawangj/target/classes started by dawang in /Users/dawang/Documents/workspace-spring-tool-suite-4-4.3.0.RELEASE/dawangj)
21-11-2019 13:19:32.920 [main] INFO  c.d.dawangj.demo.DawangjApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
21-11-2019 13:19:33.485 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 8080 (http)
21-11-2019 13:19:33.503 [main] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
21-11-2019 13:19:33.503 [main] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/9.0.21]
